inputX outputFx trueFx diffFx
7.383 0.101 0.121 0.019
7.393 0.102 0.121 0.019
7.402 0.102 0.122 0.019
7.412 0.102 0.122 0.020
7.422 0.103 0.122 0.020
7.432 0.103 0.123 0.020
7.441 0.103 0.123 0.020
7.451 0.104 0.123 0.020
7.461 0.104 0.124 0.020
7.471 0.104 0.124 0.020
7.480 0.104 0.124 0.020
7.490 0.105 0.125 0.020
7.500 0.105 0.125 0.020
7.510 0.105 0.125 0.020
7.520 0.106 0.126 0.020
7.529 0.106 0.126 0.020
7.539 0.106 0.126 0.020
7.549 0.106 0.126 0.020
7.559 0.107 0.127 0.020
7.568 0.107 0.127 0.020
7.578 0.107 0.127 0.020
7.588 0.108 0.127 0.020
7.598 0.108 0.127 0.019
7.607 0.108 0.127 0.019
7.617 0.109 0.128 0.019
7.627 0.109 0.128 0.019
7.637 0.109 0.128 0.019
7.646 0.109 0.128 0.019
7.656 0.110 0.128 0.018
7.666 0.110 0.128 0.018
7.676 0.110 0.128 0.018
7.686 0.111 0.128 0.018
7.695 0.111 0.128 0.017
7.705 0.111 0.128 0.017
7.715 0.111 0.128 0.017
7.725 0.112 0.128 0.017
7.734 0.112 0.128 0.016
7.744 0.112 0.128 0.016
7.754 0.113 0.128 0.016
7.764 0.113 0.128 0.015
7.773 0.113 0.128 0.015
7.783 0.113 0.128 0.015
7.793 0.114 0.128 0.014
7.803 0.114 0.128 0.014
7.812 0.114 0.128 0.014
7.822 0.115 0.128 0.013
7.832 0.115 0.128 0.013
7.842 0.115 0.128 0.012
7.852 0.116 0.127 0.012
7.861 0.116 0.127 0.011
7.871 0.116 0.127 0.011
7.881 0.116 0.127 0.010
7.891 0.117 0.127 0.010
7.900 0.117 0.126 0.009
7.910 0.117 0.126 0.009
7.920 0.118 0.126 0.008
7.930 0.118 0.126 0.008
7.939 0.118 0.125 0.007
7.949 0.118 0.125 0.007
7.959 0.119 0.125 0.006
7.969 0.119 0.125 0.006
7.979 0.119 0.124 0.005
7.988 0.120 0.124 0.004
7.998 0.120 0.124 0.004
8.008 0.119 0.123 0.004
8.018 0.119 0.123 0.004
8.027 0.118 0.123 0.005
8.037 0.117 0.122 0.005
8.047 0.116 0.122 0.006
8.057 0.115 0.122 0.006
8.066 0.115 0.121 0.006
8.076 0.114 0.121 0.007
8.086 0.113 0.120 0.007
