in1 in2 in3 in4 out
0.900 0.300 -0.120 0.240 1.868
0.900 0.300 -0.040 -0.400 4.065
0.900 0.300 -0.040 -0.240 3.202
0.900 0.300 -0.040 -0.080 2.323
0.900 0.300 -0.040 0.080 1.530
0.900 0.300 -0.040 0.240 0.910
0.900 0.300 0.040 -0.400 3.221
0.900 0.300 0.040 -0.240 2.315
0.900 0.300 0.040 -0.080 1.424
0.900 0.300 0.040 0.080 0.645
0.900 0.300 0.040 0.240 -0.027
0.900 0.300 0.120 -0.400 2.398
0.900 0.300 0.120 -0.240 1.463
0.900 0.300 0.120 -0.080 0.549
0.900 0.300 0.120 0.080 -0.256
0.900 0.300 0.120 0.240 -0.972
0.900 0.900 -0.200 -0.400 6.919
0.900 0.900 -0.200 -0.240 6.104
0.900 0.900 -0.200 -0.080 5.288
0.900 0.900 -0.200 0.080 4.607
0.900 0.900 -0.200 0.240 4.126
