input1 input2 output
11.178 9.547 0.284
11.178 10.077 0.343
11.178 10.608 0.399
11.178 11.138 0.460
11.178 11.668 0.535
11.178 12.199 0.637
11.178 12.729 0.791
11.178 13.259 1.045
11.178 13.790 1.482
11.178 14.320 2.231
11.178 14.851 3.546
11.178 15.381 6.193
11.178 15.911 13.211
11.178 16.442 36.535
11.906 0.000 -21.083
11.906 0.530 -20.814
11.906 1.061 -19.653
11.906 1.591 -16.888
11.906 2.122 -12.601
11.906 2.652 -8.327
11.906 3.182 -4.599
11.906 3.713 -1.976
11.906 4.243 -0.885
11.906 4.773 -0.417
11.906 5.304 -0.190
11.906 5.834 -0.080
11.906 6.365 -0.029
11.906 6.895 0.015
11.906 7.425 0.069
11.906 7.956 0.129
11.906 8.486 0.188
11.906 9.016 0.245
11.906 9.547 0.302
11.906 10.077 0.362
11.906 10.608 0.425
11.906 11.138 0.505
11.906 11.668 0.619
11.906 12.199 0.786
11.906 12.729 1.041
11.906 13.259 1.443
11.906 13.790 2.093
11.906 14.320 3.154
11.906 14.851 4.947
11.906 15.381 8.457
11.906 15.911 17.622
11.906 16.442 47.958
12.634 0.000 -11.904
12.634 0.530 -11.718
12.634 1.061 -10.991
12.634 1.591 -9.341
12.634 2.122 -6.961
12.634 2.652 -4.803
12.634 3.182 -2.898
12.634 3.713 -1.364
12.634 4.243 -0.669
12.634 4.773 -0.347
12.634 5.304 -0.171
12.634 5.834 -0.071
12.634 6.365 -0.010
12.634 6.895 0.045
12.634 7.425 0.102
12.634 7.956 0.159
12.634 8.486 0.215
12.634 9.016 0.270
12.634 9.547 0.331
12.634 10.077 0.402
12.634 10.608 0.493
12.634 11.138 0.625
12.634 11.668 0.825
12.634 12.199 1.117
12.634 12.729 1.538
12.634 13.259 2.149
12.634 13.790 3.052
12.634 14.320 4.419
12.634 14.851 6.610
12.634 15.381 10.753
12.634 15.911 21.387
12.634 16.442 56.428
13.361 0.000 -5.214
13.361 0.530 -5.091
13.361 1.061 -4.667
13.361 1.591 -3.788
13.361 2.122 -2.716
13.361 2.652 -2.035
13.361 3.182 -1.482
13.361 3.713 -0.811
13.361 4.243 -0.442
13.361 4.773 -0.244
13.361 5.304 -0.120
13.361 5.834 -0.035
13.361 6.365 0.027
13.361 6.895 0.085
13.361 7.425 0.141
13.361 7.956 0.196
13.361 8.486 0.254
13.361 9.016 0.318
13.361 9.547 0.400
13.361 10.077 0.512
13.361 10.608 0.670
13.361 11.138 0.911
13.361 11.668 1.274
13.361 12.199 1.791
13.361 12.729 2.496
13.361 13.259 3.439
13.361 13.790 4.700
13.361 14.320 6.438
13.361 14.851 9.026
13.361 15.381 13.679
13.361 15.911 25.332
13.361 16.442 63.471
14.089 0.000 -0.761
14.089 0.530 -0.683
14.089 1.061 -0.449
14.089 1.591 -0.048
14.089 2.122 0.213
14.089 2.652 -0.041
14.089 3.182 -0.403
14.089 3.713 -0.356
14.089 4.243 -0.230
14.089 4.773 -0.130
14.089 5.304 -0.048
14.089 5.834 0.019
14.089 6.365 0.076
14.089 6.895 0.134
14.089 7.425 0.189
14.089 7.956 0.253
14.089 8.486 0.330
14.089 9.016 0.429
14.089 9.547 0.579
14.089 10.077 0.803
14.089 10.608 1.121
14.089 11.138 1.595
14.089 11.668 2.293
14.089 12.199 3.260
14.089 12.729 4.515
14.089 13.259 6.074
14.089 13.790 7.964
14.089 14.320 10.288
14.089 14.851 13.395
14.089 15.381 18.526
14.089 15.911 30.804
14.089 16.442 70.470
14.817 0.000 1.214
14.817 0.530 1.281
14.817 1.061 1.446
14.817 1.591 1.668
14.817 2.122 1.623
14.817 2.652 0.999
14.817 3.182 0.217
14.817 3.713 -0.062
14.817 4.243 -0.071
14.817 4.773 -0.027
14.817 5.304 0.030
14.817 5.834 0.083
14.817 6.365 0.138
14.817 6.895 0.201
14.817 7.425 0.273
14.817 7.956 0.384
14.817 8.486 0.548
14.817 9.016 0.793
14.817 9.547 1.197
14.817 10.077 1.803
14.817 10.608 2.631
14.817 11.138 3.807
14.817 11.668 5.482
14.817 12.199 7.735
14.817 12.729 10.550
14.817 13.259 13.829
14.817 13.790 17.419
14.817 14.320 21.237
14.817 14.851 25.497
14.817 15.381 31.331
14.817 15.911 43.661
14.817 16.442 81.937
15.545 0.000 0.383
15.545 0.530 0.469
15.545 1.061 0.678
15.545 1.591 1.004
15.545 2.122 1.157
15.545 2.652 0.792
15.545 3.182 0.215
15.545 3.713 0.002
15.545 4.243 -0.000
15.545 4.773 0.050
15.545 5.304 0.111
15.545 5.834 0.172
15.545 6.365 0.267
15.545 6.895 0.409
15.545 7.425 0.606
15.545 7.956 0.977
15.545 8.486 1.574
15.545 9.016 2.520
15.545 9.547 4.107
15.545 10.077 6.455
15.545 10.608 9.543
15.545 11.138 13.765
15.545 11.668 19.638
15.545 12.199 27.397
15.545 12.729 36.856
15.545 13.259 47.428
15.545 13.790 58.176
15.545 14.320 68.177
15.545 14.851 77.016
15.545 15.381 85.157
15.545 15.911 95.875
15.545 16.442 122.161
16.272 0.000 -0.846
16.272 0.530 -0.777
16.272 1.061 -0.602
16.272 1.591 -0.302
16.272 2.122 -0.024
16.272 2.652 0.024
16.272 3.182 0.002
16.272 3.713 0.060
16.272 4.243 0.133
16.272 4.773 0.245
16.272 5.304 0.370
16.272 5.834 0.513
16.272 6.365 0.812
16.272 6.895 1.297
16.272 7.425 1.950
16.272 7.956 3.129
16.272 8.486 5.034
16.272 9.016 8.055
16.272 9.547 13.110
16.272 10.077 20.528
16.272 10.608 30.168
16.272 11.138 43.192
16.272 11.668 61.170
16.272 12.199 84.782
16.272 12.729 113.357
16.272 13.259 144.895
16.272 13.790 176.196
16.272 14.320 203.927
16.272 14.851 225.834
16.272 15.381 240.437
16.272 15.911 246.163
16.272 16.442 236.905
